ID;Name;Start;End
1;Control character;0;31
2;Basic Latin;32;127
3;Latin-1 Supplement;128;255
4;Latin Extended-A;256;383
5;Latin Extended-B;384;591
6;IPA Extensions;592;687
7;Spacing Modifier Letters;688;767
8;Combining Diacritical Marks;768;879
9;Greek and Coptic;880;1023
10;Cyrillic;1024;1279
11;Cyrillic Supplement;1280;1327
12;Armenian;1328;1423
13;Hebrew;1424;1535
14;Arabic;1536;1791
15;Syriac;1792;1871
16;Arabic Supplement;1872;1919
17;Thaana;1920;1983
18;NKo;1984;2047
19;Samaritan;2048;2111
20;Mandaic;2112;2143
21;Arabic Extended-A;2208;2303
22;Devanagari;2304;2431
23;Bengali;2432;2559
24;Gurmukhi;2560;2687
25;Gujarati;2688;2815
26;Oriya;2816;2943
27;Tamil;2944;3071
28;Telugu;3072;3199
29;Kannada;3200;3327
30;Malayalam;3328;3455
31;Sinhala;3456;3583
32;Thai;3584;3711
33;Lao;3712;3839
34;Tibetan;3840;4095
35;Myanmar;4096;4255
36;Georgian;4256;4351
37;Hangul Jamo;4352;4607
38;Ethiopic;4608;4991
39;Ethiopic Supplement;4992;5023
40;Cherokee;5024;5119
41;Unified Canadian Aboriginal Syllabics;5120;5759
42;Ogham;5760;5791
43;Runic;5792;5887
44;Tagalog;5888;5919
45;Hanunoo;5920;5951
46;Buhid;5952;5983
47;Tagbanwa;5984;6015
48;Khmer;6016;6143
49;Mongolian;6144;6319
50;Unified Canadian Aboriginal Syllabics Extended;6320;6399
51;Limbu;6400;6479
52;Tai Le;6480;6527
53;New Tai Lue;6528;6623
54;Khmer Symbols;6624;6655
55;Buginese;6656;6687
56;Tai Tham;6688;6831
57;Combining Diacritical Marks Extended;6832;6911
58;Balinese;6912;7039
59;Sundanese;7040;7103
60;Batak;7104;7167
61;Lepcha;7168;7247
62;Ol Chiki;7248;7295
63;Sundanese Supplement;7360;7375
64;Vedic Extensions;7376;7423
65;Phonetic Extensions;7424;7551
66;Phonetic Extensions Supplement;7552;7615
67;Combining Diacritical Marks Supplement;7616;7679
68;Latin Extended Additional;7680;7935
69;Greek Extended;7936;8191
70;General Punctuation;8192;8303
71;Superscripts and Subscripts;8304;8351
72;Currency Symbols;8352;8399
73;Combining Diacritical Marks for Symbols;8400;8447
74;Letterlike Symbols;8448;8527
75;Number Forms;8528;8591
76;Arrows;8592;8703
77;Mathematical Operators;8704;8959
78;Miscellaneous Technical;8960;9215
79;Control Pictures;9216;9279
80;Optical Character Recognition;9280;9311
81;Enclosed Alphanumerics;9312;9471
82;Box Drawing;9472;9599
83;Block Elements;9600;9631
84;Geometric Shapes;9632;9727
85;Miscellaneous Symbols;9728;9983
86;Dingbats;9984;10175
87;Miscellaneous Mathematical Symbols-A;10176;10223
88;Supplemental Arrows-A;10224;10239
89;Braille Patterns;10240;10495
90;Supplemental Arrows-B;10496;10623
91;Miscellaneous Mathematical Symbols-B;10624;10751
92;Supplemental Mathematical Operators;10752;11007
93;Miscellaneous Symbols and Arrows;11008;11263
94;Glagolitic;11264;11359
95;Latin Extended-C;11360;11391
96;Coptic;11392;11519
97;Georgian Supplement;11520;11567
98;Tifinagh;11568;11647
99;Ethiopic Extended;11648;11743
100;Cyrillic Extended-A;11744;11775
101;Supplemental Punctuation;11776;11903
102;CJK Radicals Supplement;11904;12031
103;Kangxi Radicals;12032;12255
104;Ideographic Description Characters;12272;12287
105;CJK Symbols and Punctuation;12288;12351
106;Hiragana;12352;12447
107;Katakana;12448;12543
108;Bopomofo;12544;12591
109;Hangul Compatibility Jamo;12592;12687
110;Kanbun;12688;12703
111;Bopomofo Extended;12704;12735
112;CJK Strokes;12736;12783
113;Katakana Phonetic Extensions;12784;12799
114;Enclosed CJK Letters and Months;12800;13055
115;CJK Compatibility;13056;13311
116;CJK Unified Ideographs Extension A;13312;19903
117;Yijing Hexagram Symbols;19904;19967
118;CJK Unified Ideographs;19968;40959
119;Yi Syllables;40960;42127
120;Yi Radicals;42128;42191
121;Lisu;42192;42239
122;Vai;42240;42559
123;Cyrillic Extended-B;42560;42655
124;Bamum;42656;42751
125;Modifier Tone Letters;42752;42783
126;Latin Extended-D;42784;43007
127;Syloti Nagri;43008;43055
128;Common Indic Number Forms;43056;43071
129;Phags-pa;43072;43135
130;Saurashtra;43136;43231
131;Devanagari Extended;43232;43263
132;Kayah Li;43264;43311
133;Rejang;43312;43359
134;Hangul Jamo Extended-A;43360;43391
135;Javanese;43392;43487
136;Myanmar Extended-B;43488;43519
137;Cham;43520;43615
138;Myanmar Extended-A;43616;43647
139;Tai Viet;43648;43743
140;Meetei Mayek Extensions;43744;43775
141;Ethiopic Extended-A;43776;43823
142;Latin Extended-E;43824;43887
143;Cherokee Supplement;43888;43967
144;Meetei Mayek;43968;44031
145;Hangul Syllables;44032;55215
146;Hangul Jamo Extended-B;55216;55295
147;High Surrogates;55296;56191
148;High Private Use Surrogates;56192;56319
149;Low Surrogates;56320;57343
150;Private Use Area;57344;63743
151;CJK Compatibility Ideographs;63744;64255
152;Alphabetic Presentation Forms;64256;64335
153;Arabic Presentation Forms-A;64336;65023
154;Variation Selectors;65024;65039
155;Vertical Forms;65040;65055
156;Combining Half Marks;65056;65071
157;CJK Compatibility Forms;65072;65103
158;Small Form Variants;65104;65135
159;Arabic Presentation Forms-B;65136;65279
160;Halfwidth and Fullwidth Forms;65280;65519
161;Specials;65520;65535
162;Linear B Syllabary;65536;65663
163;Linear B Ideograms;65664;65791
164;Aegean Numbers;65792;65855
165;Ancient Greek Numbers;65856;65935
166;Ancient Symbols;65936;65999
167;Phaistos Disc;66000;66047
168;Lycian;66176;66207
169;Carian;66208;66271
170;Coptic Epact Numbers;66272;66303
171;Old Italic;66304;66351
172;Gothic;66352;66383
173;Old Permic;66384;66431
174;Ugaritic;66432;66463
175;Old Persian;66464;66527
176;Deseret;66560;66639
177;Shavian;66640;66687
178;Osmanya;66688;66735
179;Elbasan;66816;66863
180;Caucasian Albanian;66864;66927
181;Linear A;67072;67455
182;Cypriot Syllabary;67584;67647
183;Imperial Aramaic;67648;67679
184;Palmyrene;67680;67711
185;Nabataean;67712;67759
186;Hatran;67808;67839
187;Phoenician;67840;67871
188;Lydian;67872;67903
189;Meroitic Hieroglyphs;67968;67999
190;Meroitic Cursive;68000;68095
191;Kharoshthi;68096;68191
192;Old South Arabian;68192;68223
193;Old North Arabian;68224;68255
194;Manichaean;68288;68351
195;Avestan;68352;68415
196;Inscriptional Parthian;68416;68447
197;Inscriptional Pahlavi;68448;68479
198;Psalter Pahlavi;68480;68527
199;Old Turkic;68608;68687
200;Old Hungarian;68736;68863
201;Rumi Numeral Symbols;69216;69247
202;Brahmi;69632;69759
203;Kaithi;69760;69839
204;Sora Sompeng;69840;69887
205;Chakma;69888;69967
206;Mahajani;69968;70015
207;Sharada;70016;70111
208;Sinhala Archaic Numbers;70112;70143
209;Khojki;70144;70223
210;Multani;70272;70319
211;Khudawadi;70320;70399
212;Grantha;70400;70527
213;Tirhuta;70784;70879
214;Siddham;71040;71167
215;Modi;71168;71263
216;Takri;71296;71375
217;Ahom;71424;71487
218;Warang Citi;71840;71935
219;Pau Cin Hau;72384;72447
220;Cuneiform;73728;74751
221;Cuneiform Numbers and Punctuation;74752;74879
222;Early Dynastic Cuneiform;74880;75087
223;Egyptian Hieroglyphs;77824;78895
224;Anatolian Hieroglyphs;82944;83583
225;Bamum Supplement;92160;92735
226;Mro;92736;92783
227;Bassa Vah;92880;92927
228;Pahawh Hmong;92928;93071
229;Miao;93952;94111
230;Kana Supplement;110592;110847
231;Duployan;113664;113823
232;Shorthand Format Controls;113824;113839
233;Byzantine Musical Symbols;118784;119039
234;Musical Symbols;119040;119295
235;Ancient Greek Musical Notation;119296;119375
236;Tai Xuan Jing Symbols;119552;119647
237;Counting Rod Numerals;119648;119679
238;Mathematical Alphanumeric Symbols;119808;120831
239;Sutton SignWriting;120832;121519
240;Mende Kikakui;124928;125151
241;Arabic Mathematical Alphabetic Symbols;126464;126719
242;Mahjong Tiles;126976;127023
243;Domino Tiles;127024;127135
244;Playing Cards;127136;127231
245;Enclosed Alphanumeric Supplement;127232;127487
246;Enclosed Ideographic Supplement;127488;127743
247;Miscellaneous Symbols and Pictographs;127744;128511
248;Emoticons (Emoji);128512;128591
249;Ornamental Dingbats;128592;128639
250;Transport and Map Symbols;128640;128767
251;Alchemical Symbols;128768;128895
252;Geometric Shapes Extended;128896;129023
253;Supplemental Arrows-C;129024;129279
254;Supplemental Symbols and Pictographs;129280;129535
